,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V13,0.10333333333333333,0.31666666666666665,0.2833333333333333,0.023333333333333334,0.09,0.6183333333333333,0.0,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011666666666666667,0.03833333333333333,0.0,1.0,0.028333333333333332,0.205,1.0,0.0,0.0016666666666666668,0.0,0.0,0.006666666666666667,1.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V14,0.105,0.06666666666666667,0.0,0.01,0.01,0.0,0.10333333333333333,0.006666666666666667,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0016666666666666668,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V15,0.021666666666666667,0.0,0.07166666666666667,0.0,0.0,0.05333333333333334,0.006666666666666667,0.0,0.0,0.0,0.013333333333333334,0.0033333333333333335,0.011666666666666667,0.0,0.0,0.013333333333333334,0.025,1.0,0.0,0.015,0.006666666666666667,0.023333333333333334,0.005,0.0033333333333333335,0.005,0.005,0.0,0.016666666666666666,0.0,1.0,0.02,0.0,0.0016666666666666668,0.008333333333333333,0.013333333333333334,0.056666666666666664,0.021666666666666667,0.0,0.011666666666666667,1.0,0.145,0.0016666666666666668,0.0033333333333333335,0.0033333333333333335,0.021666666666666667,0.0,0.0033333333333333335,0.005,0.0016666666666666668,0.0
V16,0.145,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.01,0.0,0.04,0.0,0.0033333333333333335,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V17,0.09166666666666666,0.0,0.0,0.041666666666666664,0.06333333333333334,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V18,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333333,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V19,0.115,0.05,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,0.0,0.13166666666666665,0.016666666666666666,0.0,0.058333333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V20,0.0,0.08166666666666667,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V21,0.08333333333333333,0.10833333333333334,0.0,0.06833333333333333,0.005,0.145,0.11,0.0,0.6316666666666667,0.0,0.0,0.0,0.09,0.175,0.0,0.0,0.105,0.008333333333333333,0.0,0.0,0.0,0.0,0.03166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V22,0.0,0.0,0.16166666666666665,0.02,0.0,0.0,0.02,0.0033333333333333335,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
