,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V11,0.33666666666666667,0.485,0.29,0.38333333333333336,0.46,0.33166666666666667,0.47,0.3283333333333333,0.4533333333333333,0.3233333333333333,0.49,0.0,0.31833333333333336,0.48,0.405,0.4033333333333333,0.4666666666666667,0.49666666666666665,0.49333333333333335,0.4216666666666667,0.48333333333333334,0.4633333333333333,0.4683333333333333,0.47833333333333333,0.265,0.041666666666666664,0.27666666666666667,0.49166666666666664,0.465,0.0,0.0,0.455,0.45666666666666667,0.43,0.35,0.4216666666666667,0.4116666666666667,0.4816666666666667,0.43666666666666665,0.49833333333333335,0.475,0.46,0.295,0.42333333333333334,0.0,0.385,0.39666666666666667,0.47,0.42333333333333334,0.49
V12,0.41,0.2833333333333333,0.31666666666666665,0.48333333333333334,0.485,0.225,0.35333333333333333,0.21666666666666667,0.4,0.3383333333333333,0.48333333333333334,0.4633333333333333,0.29833333333333334,0.4633333333333333,0.3433333333333333,0.35333333333333333,0.31333333333333335,0.0,0.305,0.495,0.44666666666666666,0.465,0.35,0.4866666666666667,0.44333333333333336,0.18166666666666667,0.49833333333333335,0.27,0.425,0.47,0.0,0.3566666666666667,0.31833333333333336,0.17833333333333334,0.0,0.0,0.0,0.2816666666666667,0.0,0.47333333333333333,0.0,0.4116666666666667,0.03,0.495,0.48,0.4683333333333333,0.3616666666666667,0.0,0.4766666666666667,0.485
V13,0.36333333333333334,0.23166666666666666,0.20666666666666667,0.42333333333333334,0.4716666666666667,0.06,0.49166666666666664,0.42833333333333334,0.495,0.4766666666666667,0.48833333333333334,0.4716666666666667,0.39166666666666666,0.0,0.4816666666666667,0.435,0.46166666666666667,0.35,0.0,0.47,0.185,0.0,0.4716666666666667,0.49166666666666664,0.495,0.49166666666666664,0.44666666666666666,0.0,0.46,0.495,0.48,0.395,0.395,0.4683333333333333,0.4766666666666667,0.4816666666666667,0.48333333333333334,0.4866666666666667,0.48833333333333334,0.48333333333333334,0.48333333333333334,0.4683333333333333,0.5,0.48833333333333334,0.49666666666666665,0.45166666666666666,0.47333333333333333,0.47833333333333333,0.47333333333333333,0.48
V14,0.465,0.36,0.4583333333333333,0.43833333333333335,0.47333333333333333,0.49333333333333335,0.33,0.485,0.48,0.4816666666666667,0.48333333333333334,0.4633333333333333,0.17,0.49833333333333335,0.48333333333333334,0.47333333333333333,0.495,0.47833333333333333,0.4,0.4666666666666667,0.475,0.4583333333333333,0.48833333333333334,0.47,0.4816666666666667,0.49,0.455,0.48333333333333334,0.49166666666666664,0.495,0.49833333333333335,0.43333333333333335,0.47,0.49,0.48,0.49333333333333335,0.465,0.47,0.475,0.46166666666666667,0.4866666666666667,0.48833333333333334,0.47,0.49666666666666665,0.4766666666666667,0.4816666666666667,0.4716666666666667,0.49833333333333335,0.49666666666666665,0.4633333333333333
V15,0.45666666666666667,0.48,0.42,0.49333333333333335,0.455,0.32666666666666666,0.4633333333333333,0.4583333333333333,0.4816666666666667,0.4716666666666667,0.43666666666666665,0.4716666666666667,0.375,0.4766666666666667,0.49666666666666665,0.4216666666666667,0.4066666666666667,0.0,0.4583333333333333,0.45666666666666667,0.4683333333333333,0.425,0.4666666666666667,0.46166666666666667,0.49,0.4666666666666667,0.49,0.45,0.49666666666666665,0.0,0.4666666666666667,0.49666666666666665,0.485,0.455,0.4816666666666667,0.35833333333333334,0.455,0.49333333333333335,0.455,0.0,0.335,0.49,0.4666666666666667,0.4866666666666667,0.44166666666666665,0.5,0.47333333333333333,0.49333333333333335,0.495,0.495
V16,0.3283333333333333,0.47333333333333333,0.4766666666666667,0.48333333333333334,0.4866666666666667,0.47833333333333333,0.485,0.45,0.48833333333333334,0.33666666666666667,0.4816666666666667,0.41,0.4866666666666667,0.49,0.49833333333333335,0.49666666666666665,0.49,0.46166666666666667,0.0,0.48833333333333334,0.49666666666666665,0.4866666666666667,0.48,0.47,0.495,0.49333333333333335,0.4683333333333333,0.485,0.4866666666666667,0.485,0.48833333333333334,0.225,0.455,0.4766666666666667,0.445,0.49166666666666664,0.495,0.4666666666666667,0.48333333333333334,0.4716666666666667,0.49666666666666665,0.49833333333333335,0.455,0.485,0.4866666666666667,0.465,0.45166666666666666,0.49833333333333335,0.47833333333333333,0.48833333333333334
V17,0.27,0.49833333333333335,0.49333333333333335,0.43333333333333335,0.37,0.4683333333333333,0.4633333333333333,0.475,0.43833333333333335,0.48833333333333334,0.49333333333333335,0.49333333333333335,0.495,0.415,0.4483333333333333,0.49333333333333335,0.48,0.4633333333333333,0.47,0.4866666666666667,0.475,0.4816666666666667,0.38,0.49,0.49333333333333335,0.475,0.49666666666666665,0.49166666666666664,0.47333333333333333,0.465,0.4766666666666667,0.49833333333333335,0.4866666666666667,0.49333333333333335,0.49,0.49666666666666665,0.485,0.49666666666666665,0.46,0.44333333333333336,0.49,0.46,0.47833333333333333,0.45666666666666667,0.49333333333333335,0.46,0.49166666666666664,0.4583333333333333,0.5,0.49333333333333335
V18,0.4483333333333333,0.42,0.48833333333333334,0.47833333333333333,0.49,0.4683333333333333,0.49666666666666665,0.475,0.44333333333333336,0.4,0.485,0.47333333333333333,0.485,0.4816666666666667,0.4533333333333333,0.46166666666666667,0.48,0.5,0.455,0.47,0.49333333333333335,0.4816666666666667,0.4583333333333333,0.47833333333333333,0.48833333333333334,0.49333333333333335,0.485,0.48333333333333334,0.465,0.49666666666666665,0.49666666666666665,0.485,0.4633333333333333,0.49,0.475,0.49666666666666665,0.49833333333333335,0.4633333333333333,0.49,0.485,0.485,0.49166666666666664,0.48833333333333334,0.46,0.48833333333333334,0.49166666666666664,0.49833333333333335,0.4816666666666667,0.48333333333333334,0.5
V19,0.3416666666666667,0.45166666666666666,0.4816666666666667,0.43666666666666665,0.48,0.49,0.44166666666666665,0.495,0.415,0.49833333333333335,0.49166666666666664,0.48,0.11833333333333333,0.47333333333333333,0.4683333333333333,0.4216666666666667,0.48,0.49166666666666664,0.48833333333333334,0.0,0.48833333333333334,0.4666666666666667,0.4866666666666667,0.47833333333333333,0.49,0.49666666666666665,0.4816666666666667,0.48333333333333334,0.4716666666666667,0.49833333333333335,0.48,0.49833333333333335,0.46,0.49833333333333335,0.49666666666666665,0.4816666666666667,0.49666666666666665,0.49333333333333335,0.49,0.49,0.495,0.475,0.48333333333333334,0.4866666666666667,0.45,0.49666666666666665,0.475,0.4633333333333333,0.5,0.475
V20,0.49833333333333335,0.45166666666666666,0.475,0.48,0.495,0.49166666666666664,0.49833333333333335,0.4716666666666667,0.495,0.47333333333333333,0.48333333333333334,0.485,0.47,0.48833333333333334,0.47833333333333333,0.49166666666666664,0.48,0.48,0.4683333333333333,0.475,0.4716666666666667,0.49333333333333335,0.495,0.48833333333333334,0.4633333333333333,0.4683333333333333,0.485,0.47833333333333333,0.4766666666666667,0.49,0.47833333333333333,0.495,0.49333333333333335,0.48833333333333334,0.485,0.49666666666666665,0.47833333333333333,0.4766666666666667,0.49666666666666665,0.485,0.4816666666666667,0.485,0.495,0.48333333333333334,0.48,0.5,0.48833333333333334,0.4866666666666667,0.4866666666666667,0.4766666666666667
